date,note_id,key,title,published_at,created_at,updated_at,age_days,read_count,like_count,comment_count
2026-02-27,129966961,n3df2abbd3e90,ChatGPT、ついに“制限解除”──AIが笑って返す時代の幕開け！？ #80,2025-10-15T11:50:45.000+09:00,2025-10-15T11:17:09.000+09:00,,135,1347,16,0
2026-02-27,130175159,nc26003dfcebd,爆速投資ハック！Excel地獄から5分で脱出！― yfinance＋Google Colab＋Plotlyで「取る→見える」を一撃！ ― #86,2025-10-21T06:17:43.000+09:00,2025-10-16T22:54:49.000+09:00,,129,1146,28,0
2026-02-27,134027660,nd946a5f905a2,KITAcoreのAI×思考ログへようこそ — プロンプト設計、アート、そして人生のログプレイ #116,2025-11-13T16:20:07.000+09:00,2025-11-13T10:40:28.000+09:00,,106,954,356,24
2026-02-27,145014796,n1ab80047f8f8,デザインマネージャーの「資料生成術」をエンジニアがハックしたら、とてつもない資産に見えた話 #244,2026-02-03T06:04:16.000+09:00,2026-02-02T09:25:43.000+09:00,,24,834,78,16
2026-02-27,137949665,nc6a83f270ae6,【無料公開】Nano Banana Pro キャラクターシート生成プロンプト集 #167,2025-12-13T19:46:37.000+09:00,2025-12-13T16:22:07.000+09:00,,76,829,47,5
2026-02-27,120127617,n07d869d6422e,アレニウスモデルについてまとめてみる｜故障モードと活性化エネルギーの読み解き方 #15,2025-07-25T20:15:56.000+09:00,2025-07-24T16:40:15.000+09:00,,217,734,1,0
2026-02-27,128281481,n12201dd9b5ff,【NanoBanana 構造化設計】画像生成を「運」から「論理」へ変える、メタプロンプト・エンジンの全貌 #129,2025-11-21T05:53:12.000+09:00,2025-10-02T10:01:40.000+09:00,,98,708,56,0
2026-02-27,137729246,n825cd2765f6a,FUJI式YAMLに触発されて作った「インフォグラフィック設計プロンプト」 #164,2025-12-11T21:24:24.000+09:00,2025-12-11T20:57:54.000+09:00,,78,646,37,0
2026-02-27,145458774,nd200c8676064,note記事の寿命はわずか5日間？ワイが自分のデータで暴いた『死の谷』の正体 #249,2026-02-07T06:17:04.000+09:00,2026-02-05T08:34:53.000+09:00,,20,606,112,25
2026-02-27,146935245,ndcf74df8e26d,【AIアート/イラスト】7th OASOBI企画 ＃266,2026-02-20T05:46:28.000+09:00,2026-02-15T09:33:24.000+09:00,,7,576,69,54
2026-02-27,134011994,ne05471c0675e,GPT-5.1、正直どう変わった？まとめてみた話 #115,2025-11-13T08:19:38.000+09:00,2025-11-13T08:12:22.000+09:00,,106,522,25,0
2026-02-27,143371579,n47e9f83d5be4,【検証】ワイがAIをどう扱ってきたか、画像にしたら“人格”が割れた #225,2026-01-21T22:32:30.000+09:00,2026-01-21T22:03:57.000+09:00,,37,504,49,22
2026-02-27,143130349,n5c5913089d08,【プロンプト付き】文字にキャラを埋め込む #223,2026-01-20T10:52:26.000+09:00,2026-01-20T09:13:55.000+09:00,,38,495,29,7
2026-02-27,146280748,n9f271d5f24b1,Note運営｜ビュー数とスキで見る“成長の品質”｜毎日ログの4象限 #262,2026-02-17T05:35:44.000+09:00,2026-02-10T21:15:56.000+09:00,,10,492,86,18
2026-02-27,146528233,n0f919ece03f2,【自己紹介】データ×生成AIで遊ぶログプレイヤー｜note運営｜プロンプト設計｜はじめてのnote｜自己紹介 #260,2026-02-15T06:27:08.000+09:00,2026-02-12T14:02:04.000+09:00,,12,486,81,17
2026-02-27,129191772,n198e113d8fa9,集中力・成績は「光」で決まる！体内時計と前頭前野を鍛える外遊びの真実 ―外遊びと学力の意外すぎる関係 #81,2025-10-16T07:01:48.000+09:00,2025-10-09T12:52:03.000+09:00,,134,484,10,2
2026-02-27,146039467,nfa2d9f69716e,【検証】noteのView数が伸びる仕組みを、数式で「構造化」してみた結果 #253,2026-02-09T10:11:10.000+09:00,2026-02-09T08:16:13.000+09:00,,18,484,52,14
2026-02-27,146145930,n000adbea1df9,【検証】noteのView数が伸びる仕組みを、数式なしで整理してみた：Re #255,2026-02-11T06:20:37.000+09:00,2026-02-09T22:22:15.000+09:00,,16,484,73,23
2026-02-27,147815167,nfe531191f233,「ハッシュタグ」はデータで選べ。フォロワー外に届けるための“新・タグ設計術” #269,2026-02-22T08:03:01.000+09:00,2026-02-21T10:10:20.000+09:00,,5,484,73,18
2026-02-27,148090945,nae95b4013622,AIアート｜コラボ｜覗いたら終わる。マーコ展示録（火野枝馬子） #272,2026-02-24T08:22:16.000+09:00,2026-02-23T06:03:22.000+09:00,,3,480,58,22
2026-02-27,135502155,n53ddb87df48b,コピペでイチコロ。「アップスケールなめててごめん」イラストを実写化するプロンプト全公開  #136,2025-11-26T05:54:28.000+09:00,2025-11-24T19:28:15.000+09:00,,93,477,17,2
2026-02-27,143599996,n8e365e887d5f,【Gem公開】プロフィールと記事からAIは、ポートレートをつくれるのか。 #229,2026-01-24T06:11:56.000+09:00,2026-01-23T15:27:50.000+09:00,,34,476,48,22
2026-02-27,136386222,n1d8c09ab19fe,【AIアート/イラスト】二重露光って、ズルい #203,2026-01-07T05:36:20.000+09:00,2025-12-01T17:01:58.000+09:00,,51,472,57,18
2026-02-27,146399326,n236b3352fde3,noteが“推したい記事”を公開情報から逆算してみた #259,2026-02-14T06:28:33.000+09:00,2026-02-11T16:50:53.000+09:00,,13,466,86,31
2026-02-27,147232372,n9d3ab3287016,企業アカのnote、正直“教科書”になるんちゃうん？｜キリン公式の設計図を解剖してみた #265,2026-02-19T06:31:05.000+09:00,2026-02-17T09:02:33.000+09:00,,8,458,55,20
2026-02-27,146203479,nfab047768b25,続・note記事には「消費期限」がある（気がする）。経過日数ごとの“日次ビュー減衰”を箱ひげ図で可視化する手法 #256,2026-02-12T05:06:58.000+09:00,2026-02-10T11:03:34.000+09:00,,15,441,85,17
2026-02-27,132812328,n8af759621330,【探すの面倒くさすぎ】Midjourney V7パラメータ、わかる分だけ全部ここに置いとく“自分用メモ”  #121,2025-11-16T17:51:29.000+09:00,2025-11-04T07:52:43.000+09:00,,103,438,58,4
2026-02-27,146961886,n05348e338123,OASOBI第7回|参加表明|文字の中にみんなを住まわせた|OとIは敵｜2/20公開 #261,2026-02-16T05:43:11.000+09:00,2026-02-15T12:50:31.000+09:00,,11,438,59,32
